"","Enfermedad","Sintagma_nominal_completo","Definicion","Lema"
"infeccion1","periodontitis","la periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion2","periodontitis","periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion3","gingivitis","y gingivitis","Qué es la gingivitis La gingivitis es una inflamación de las encías que afecta a una parte significativa de la población en algún momento de su vida. Se caracteriza principalmente por enrojecimiento, hinchazón y sangrado de las encías, siendo una de las afecciones más comunes dentro de la odontología. Este trastorno suele ser reversible si se trata de manera adecuada, pero puede evolucionar hacia formas más graves si no se atiende oportunamente. La gingivitis es una inflamación de los tejidos gingivales, generalmente causada por la acumulación de placa bacteriana en la superficie dental y alrededor de las encías. Esta placa está formada por bacterias, restos de alimentos y saliva que, si no se eliminan adecuadamente, pueden provocar infecciones locales. Aunque es más frecuente en adultos, también puede presentarse en niños, como en casos de gingivitis infantil o gingivitis en bebés de 1 año. Causas de la gingivitis Entre las causas más comunes de la gingivitis se encuentran: Mala higiene oral: La falta de cepillado adecuado permite la acumulación de placa bacteriana, que es el principal desencadenante de la enfermedad. Cambios hormonales: Durante el embarazo o el ciclo menstrual, como en el caso de la gingivitis hormonal, las encías pueden volverse más sensibles. Factores sistémicos: Enfermedades como la diabetes o inmunodeficiencias pueden agravar la condición. Uso inadecuado de prótesis: Prótesis dentales mal ajustadas pueden causar irritación y facilitar infecciones. Tipos de gingivitis Existen diversas formas clínicas de gingivitis, que varían según su origen y severidad. Algunas de las más relevantes incluyen: Gingivitis aguda: Presenta inflamación intensa y sangrado, generalmente asociado a infecciones bacterianas. Gingivitis crónica: Evoluciona lentamente con síntomas menos evidentes, pero con daño progresivo. Gingivitis ulcero necrosante: Caracterizada por dolor, necrosis de tejido gingival y mal olor. Gingivitis descamativa: Afecta principalmente a mujeres y está relacionada con alteraciones hormonales. Gingivitis de células plasmáticas: Una forma rara que puede asociarse con alergias o enfermedades sistémicas. Síntomas de la gingivitis Los síntomas más comunes de la gingivitis incluyen: Encías inflamadas, enrojecidas o sensibles. Sangrado durante el cepillado o uso del hilo dental. Mal aliento persistente (halitosis). Retracción de las encías en casos avanzados. ¿La gingivitis es peligrosa? Si bien la gingivitis en sus etapas iniciales no suele ser peligrosa, la falta de tratamiento puede derivar en periodontitis, una condición más severa que afecta las estructuras de soporte dental. Esto puede llevar a la pérdida de dientes y a complicaciones sistémicas. ¿La gingivitis es contagiosa? Aunque la gingivitis no es directamente contagiosa, las bacterias presentes en la placa que la causan pueden transmitirse a través de la saliva. Por ello, es fundamental mantener una buena higiene oral y evitar compartir utensilios bucales. Tratamiento de la gingivitis El tratamiento depende de la gravedad del caso. En etapas iniciales, una higiene bucal adecuada suele ser suficiente. En casos de gingivitis severa o gingivitis avanzada, pueden requerirse procedimientos profesionales, como: Limpieza profesional: Para eliminar la placa y el sarro acumulados. Uso de antisépticos tópicos: Productos como enjuagues con clorhexidina pueden ayudar a controlar la inflamación. Antibióticos: En casos de infecciones graves, pueden prescribirse antibióticos tópicos o sistémicos. Gingivitis en condiciones específicas La gingivitis puede manifestarse de manera particular en diferentes etapas de la vida o circunstancias: Gingivitis en el embarazo: Los cambios hormonales pueden aumentar la sensibilidad de las encías. Gingivitis menstrual: Relacionada con el ciclo menstrual y cambios hormonales temporales. Gingivitis infantil: Frecuente durante el desarrollo dental y por higiene insuficiente. ¿La gingivitis es curable? Sí, la gingivitis es curable si se detecta y trata a tiempo. La clave está en eliminar la placa bacteriana de forma efectiva y mantener un cuidado continuo de la higiene oral. Cuidado personal en gingivitis El cuidado personal es esencial para prevenir y tratar la gingivitis. Esto incluye: Cepillarse los dientes al menos dos veces al día con una pasta dental fluorada. Usar hilo dental diariamente para eliminar residuos entre los dientes. Visitar al dentista regularmente para limpiezas profesionales y revisión. © Clínica Universidad de Navarra 2023","gingivitis"
"infeccion4","periodontitis","la periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion5","periodontitis","periodontitis moderada","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion6","periodontitis","periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion7","periodontitis","periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion8","gingivitis","gingivitis","Qué es la gingivitis La gingivitis es una inflamación de las encías que afecta a una parte significativa de la población en algún momento de su vida. Se caracteriza principalmente por enrojecimiento, hinchazón y sangrado de las encías, siendo una de las afecciones más comunes dentro de la odontología. Este trastorno suele ser reversible si se trata de manera adecuada, pero puede evolucionar hacia formas más graves si no se atiende oportunamente. La gingivitis es una inflamación de los tejidos gingivales, generalmente causada por la acumulación de placa bacteriana en la superficie dental y alrededor de las encías. Esta placa está formada por bacterias, restos de alimentos y saliva que, si no se eliminan adecuadamente, pueden provocar infecciones locales. Aunque es más frecuente en adultos, también puede presentarse en niños, como en casos de gingivitis infantil o gingivitis en bebés de 1 año. Causas de la gingivitis Entre las causas más comunes de la gingivitis se encuentran: Mala higiene oral: La falta de cepillado adecuado permite la acumulación de placa bacteriana, que es el principal desencadenante de la enfermedad. Cambios hormonales: Durante el embarazo o el ciclo menstrual, como en el caso de la gingivitis hormonal, las encías pueden volverse más sensibles. Factores sistémicos: Enfermedades como la diabetes o inmunodeficiencias pueden agravar la condición. Uso inadecuado de prótesis: Prótesis dentales mal ajustadas pueden causar irritación y facilitar infecciones. Tipos de gingivitis Existen diversas formas clínicas de gingivitis, que varían según su origen y severidad. Algunas de las más relevantes incluyen: Gingivitis aguda: Presenta inflamación intensa y sangrado, generalmente asociado a infecciones bacterianas. Gingivitis crónica: Evoluciona lentamente con síntomas menos evidentes, pero con daño progresivo. Gingivitis ulcero necrosante: Caracterizada por dolor, necrosis de tejido gingival y mal olor. Gingivitis descamativa: Afecta principalmente a mujeres y está relacionada con alteraciones hormonales. Gingivitis de células plasmáticas: Una forma rara que puede asociarse con alergias o enfermedades sistémicas. Síntomas de la gingivitis Los síntomas más comunes de la gingivitis incluyen: Encías inflamadas, enrojecidas o sensibles. Sangrado durante el cepillado o uso del hilo dental. Mal aliento persistente (halitosis). Retracción de las encías en casos avanzados. ¿La gingivitis es peligrosa? Si bien la gingivitis en sus etapas iniciales no suele ser peligrosa, la falta de tratamiento puede derivar en periodontitis, una condición más severa que afecta las estructuras de soporte dental. Esto puede llevar a la pérdida de dientes y a complicaciones sistémicas. ¿La gingivitis es contagiosa? Aunque la gingivitis no es directamente contagiosa, las bacterias presentes en la placa que la causan pueden transmitirse a través de la saliva. Por ello, es fundamental mantener una buena higiene oral y evitar compartir utensilios bucales. Tratamiento de la gingivitis El tratamiento depende de la gravedad del caso. En etapas iniciales, una higiene bucal adecuada suele ser suficiente. En casos de gingivitis severa o gingivitis avanzada, pueden requerirse procedimientos profesionales, como: Limpieza profesional: Para eliminar la placa y el sarro acumulados. Uso de antisépticos tópicos: Productos como enjuagues con clorhexidina pueden ayudar a controlar la inflamación. Antibióticos: En casos de infecciones graves, pueden prescribirse antibióticos tópicos o sistémicos. Gingivitis en condiciones específicas La gingivitis puede manifestarse de manera particular en diferentes etapas de la vida o circunstancias: Gingivitis en el embarazo: Los cambios hormonales pueden aumentar la sensibilidad de las encías. Gingivitis menstrual: Relacionada con el ciclo menstrual y cambios hormonales temporales. Gingivitis infantil: Frecuente durante el desarrollo dental y por higiene insuficiente. ¿La gingivitis es curable? Sí, la gingivitis es curable si se detecta y trata a tiempo. La clave está en eliminar la placa bacteriana de forma efectiva y mantener un cuidado continuo de la higiene oral. Cuidado personal en gingivitis El cuidado personal es esencial para prevenir y tratar la gingivitis. Esto incluye: Cepillarse los dientes al menos dos veces al día con una pasta dental fluorada. Usar hilo dental diariamente para eliminar residuos entre los dientes. Visitar al dentista regularmente para limpiezas profesionales y revisión. © Clínica Universidad de Navarra 2023","gingivitis"
"infeccion9","periodontitis","La periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
"infeccion10","periodontitis","periodontitis","f. Inflamación del tejido que rodea a los dientes (periodonto).","periodontitis"
